id,controle,familia,feature,transporte,aparelho_aceita,aparelho_confianca,aparelho_evidencia,hefesto_aciona,codigo_ref,canal,comando,report_id,offset,detalhe,teste_que_morde,mordida,mordida_provada_em,grau,provado_em,provado_por,validade_dias,assimetria_declarada,estado_hoje,ressalva
pro.c_mera_ir.nenhum,pro,plataforma,Câmera IR,nenhum,não,incerto,"o driver não distingue IR de NFC em lugar nenhum, e não emite nada nesse canal",não,"assets/dkms/hid-nintendo/hid-nintendo.c:123, :155 (constantes sem emissor)",outro,"nao-localizado — a câmera IR é do Joy-Con DIREITO, não do Pro Controller. O Pro compartilha o canal de MCU (0x11/0x31), mas não há sensor de IR no plástico.",,,"Os reports de MCU do descritor do Pro cobrem ""MCU/NFC/IR"" como família; o que existe no Pro é o NFC.",,,,,,,,,,"GRAU HONESTO: não medido nesta casa e não decidível pelo código — o driver não pergunta ao aparelho o que há no canal de MCU. A ausência de IR no Pro é conhecimento de fora, não achado deste repositório."
pro.handshake_usb_baudrate_3m_e_no_timeout.usb,pro,plataforma,"Handshake USB, baudrate 3M e no-timeout",usb,sim,inferido-do-codigo,"com `usb_cmd_pad_to_report=1` (remendo desta casa) o driver transmite os 64 bytes que o descritor declara (`85 80 09 05 75 08 95 3f 91 83`) e o endpoint OUT espera, em vez de só 2",não,"assets/dkms/hid-nintendo/hid-nintendo.c:168-183, :862-864, :1101-1123, :2846-2876",hidraw,"report de SAÍDA 0x80, dois bytes significativos: `buf[0]=0x80`, `buf[1]=cmd`. Ordem: (CONN_STATUS 0x01 opcional) → HANDSHAKE 0x02 → BAUDRATE_3M 0x03 → HANDSHAKE 0x02 de novo → NO_TIMEOUT 0x04.",saída 0x80; resposta em entrada 0x81,"JC_USB_CMD_CONN_STATUS 0x01, HANDSHAKE 0x02, BAUDRATE_3M 0x03, NO_TIMEOUT 0x04, EN_TIMEOUT 0x05","EXCLUSIVO DO CABO: todo o ramo roda sob `joycon_using_usb()`, que é literalmente `hdev->bus == BUS_USB`.",,,,,,,,,,"É a aposta forte da casa contra o CLONE, que ignora o transfer curto — no genuíno o padding não é necessário."
pro.handshake_usb_baudrate_3m_e_no_timeout.bluetooth,pro,plataforma,"Handshake USB, baudrate 3M e no-timeout",bluetooth,não,inferido-do-codigo,,não,"assets/dkms/hid-nintendo/hid-nintendo.c:862, :2847",outro,NÃO EXISTE por rádio — o driver vai direto ao `joycon_read_info()` (REQ_DEV_INFO 0x02),,,É a ÚNICA diferença de conteúdo entre os dois barramentos no Pro.,,,,,,,,,,
pro.req_dev_info_endere_o_de_r_dio_e_tipo_do_con.ambos,pro,plataforma,REQ_DEV_INFO — endereço de rádio e tipo do controle,ambos,sim,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:2699-2741,hidraw,subcomando 0x02 no report de saída 0x01; resposta no 0x21,"saída 0x01 (subcmd 0x02), entrada 0x21",MAC = 6 bytes a partir de `subcmd_reply.data[4]`; tipo do controle = `subcmd_reply.data[2]`,O tipo é lido DALI e não do PID porque o NSO Genesis mente o PID entre USB e Bluetooth.,,,,,,,,,,"É o único ponto onde uso `ambos` — o subcomando é bit a bit o mesmo, e não achei nenhum ramo de bus nele. Se aparecer divergência medida, esta linha vira duas."
pro.modo_de_relat_rio_set_report_mode.ambos,pro,plataforma,Modo de relatório (SET_REPORT_MODE),ambos,sim,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:1543-1554,hidraw,"subcomando 0x03 com `data[0] = 0x30` (standard, full report mode), mandado uma vez no probe",saída 0x01 (subcmd 0x03),data[0] = 0x30,É por isso que só chega o 0x30 e nunca o 0x3F: o Linux nunca pede outro modo.,,,,,,,,,,
pro.enable_vibration_habilitar_o_motor_no_firmwa.ambos,pro,vibracao,Enable vibration (habilitar o motor no firmware),ambos,sim,inferido-do-codigo,,não,"assets/dkms/hid-nintendo/hid-nintendo.c:1556-1567, :2925-2947",hidraw,"subcomando ENABLE_VIBRATION = 0x48, `data[0] = 0x01` (0x00 desligaria), mandado uma vez no probe",saída 0x01 (subcmd 0x48),"subcmd 0x48, data[0]=0x01",,,,,,,,,,,
pro.desligar_o_controle_set_hci_state.bluetooth,pro,plataforma,Desligar o controle (SET_HCI_STATE),bluetooth,sim,inferido-do-codigo,a constante existe em :133 e nenhum dos sete `subcmd_id = JC_SUBCMD` a usa,não,"assets/dkms/hid-nintendo/hid-nintendo.c:133 versus :1226,:1240,:1265,:1549,:1562,:1575,:2704",hidraw,"subcomando 0x06 — `00` desconectar/dormir, `01` reiniciar, `02` reiniciar em modo de pareamento. O LINUX NUNCA O MANDA.",saída 0x01 (subcmd 0x06),JC_SUBCMD_SET_HCI_STATE = 0x06,"É a ÚNICA alavanca real de ""desligar o Pro"" que existe. Se ela algum dia pedir ""desligar o controle pelo aplicativo"", é por aqui — e é código a escrever, não a ligar.",,,,,,,,,,"O firmware NÃO tem timer de ociosidade num host que não seja o Switch: ele fica em `sleep` e drena a bateria em uma ou duas semanas. GRAU MÉDIA — fonte única de comunidade, coerente com o medido aqui (20h33m de pé sem cair), o que não é confirmação."
pro.desligar_o_controle_set_hci_state.usb,pro,plataforma,Desligar o controle (SET_HCI_STATE),usb,sim,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:133,hidraw,"mesma constante 0x06, mesmo report de saída 0x01 — igualmente nunca emitida pelo Linux",saída 0x01 (subcmd 0x06),,"Por cabo a semântica de ""desligar"" é discutível (o controle está alimentado), mas o subcomando não tem porteiro de bus.",,,,,,,,,,
pro.pareamento_manual_esquecer_o_host_hid_off_0x.bluetooth,pro,identidade,"Pareamento manual, esquecer o host, HID OFF (0x01 / 0x07 / 0x08)",bluetooth,sim,inferido-do-codigo,o console manda `x08 00` após TODA conexão — desliga explicitamente o modo de baixa energia de transporte. O Linux nunca tira o controle desse estado.,não,"assets/dkms/hid-nintendo/hid-nintendo.c:128, :134-135",hidraw,"MANUAL_BT_PAIRING 0x01 (três passos: manda o endereço do host, recebe o do controle, salva); RESET_PAIRING_INFO 0x07; LOW_POWER_MODE 0x08. NENHUM é emitido pelo Linux.",saída 0x01,"subcmds 0x01, 0x07, 0x08","Dá MECANISMO NOMEADO à hipótese ""o controle volta ao Switch e esquece este host"": o Switch reescreve a informação de pareamento por subcomando, e o BlueZ não fica sabendo.",,,,,,,,,,GRAU: ALTA para o Linux nunca emitir (verificado por grep); MÉDIA para a semântica de cada subcomando (fonte de comunidade).
pro.pareamento_manual_esquecer_o_host_hid_off_0x.usb,pro,identidade,"Pareamento manual, esquecer o host, HID OFF (0x01 / 0x07 / 0x08)",usb,sim,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:128-135,hidraw,"mesmas constantes, mesmo report — nunca emitidas",saída 0x01,,,,,,,,,,,,
pro.crc_32_no_envelope_integridade_de_report.bluetooth,pro,plataforma,CRC-32 no envelope (integridade de report),bluetooth,não,inferido-do-codigo,"docs/protocol/externos-referencia-canonica.md §3.3: ""Um instrumento que assuma CRC no Pro escreve lixo""",não,"assets/dkms/hid-nintendo/hid-nintendo.c:867-881, :580-586",hidraw,"NÃO EXISTE no Pro, em barramento nenhum. `__joycon_hid_send` só faz `kmemdup` + `hid_hw_output_report`.",,,"CONTRASTE TOTAL com o DualSense, onde o 0x31 de BT carrega CRC-32 com sementes 0xA1 (entrada), 0xA2 (saída) e 0xA3 (feature). O único ""número de sequência"" do Pro é o `packet_num` de 4 bits (0..0xF) no byte 1 da saída.",,,,,,,,,,ARMADILHA DE INSTRUMENTO NOMEADA: quem portar o medidor do DualSense para o Pro sem tirar o CRC escreve bytes de lixo no fim de cada report.
pro.crc_32_no_envelope_integridade_de_report.usb,pro,plataforma,CRC-32 no envelope (integridade de report),usb,não,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:867-881,hidraw,idem — não existe,,,,,,,,,,,,,
pro.taxa_de_relat_rios_de_entrada.bluetooth,pro,plataforma,Taxa de relatórios de entrada,bluetooth,sim,medido,"o `avg_delta` que o kernel APRENDE é 11 ms em 1460 das 1613 amostras do dia, com cauda até 22 ms",não,docs/protocol/externos-referencia-canonica.md:351-354,hidraw,"relatórios 0x30 no fio: 89,2/s, um a cada 11,2 ms",entrada 0x30,,"MEDIDO em 6,0 s de hidraw puro (536 relatórios). Duas janelas longas concordam (89,1/s em 5,0 s; 89,2/s em 6,0 s); a de 3,0 s deu 86/s e é curta demais.",,,,,,,,,,"CORREÇÃO DATADA: a página de uso registrava ""~268 pacotes por segundo"" — aquilo era a taxa de AMOSTRAS de IMU (89,2 × 3), não a de relatórios. Os números são compatíveis."
pro.taxa_de_relat_rios_de_entrada.usb,pro,plataforma,Taxa de relatórios de entrada,usb,sim,incerto,nao-localizado — não há CSV nem sprint com medição de taxa do Pro por cabo,não,docs/protocol/externos-referencia-canonica.md:347-367 (só BT),hidraw,não medido nesta casa,entrada 0x30,,"Todas as medições publicadas de taxa do Pro são de link Bluetooth. Por cabo o limitador é mais folgado (20 ms contra 60 ms), mas isso governa a SAÍDA, não a entrada.",,,,,,,,,,
pro.limitador_de_subcomando_o_que_governa_toda_e.usb,pro,plataforma,Limitador de subcomando (o que governa TODA escrita),usb,sim,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:971-1047,hidraw,"`joycon_enforce_subcmd_rate` roda antes de CADA subcomando e de CADA pacote de rumble: exige 3 relatórios de entrada consecutivos com delta de 8–17 ms, mais 20 ms desde o último envio, e ainda dorme 4 ms antes de transmitir. Teto de 25 tentativas.",,"JC_INPUT_REPORT_MIN_DELTA 8, MAX_DELTA 17, VALID_DELTA_REQ 3, TX_OFFSET_MS 4, RATE_LIMITER_USB_MS 20, RATE_MAX_ATTEMPTS 25","É o orçamento real de escrita do Pro. LED, rumble e qualquer subcomando disputam a MESMA janela.",,,,,,,,,,
pro.limitador_de_subcomando_o_que_governa_toda_e.bluetooth,pro,plataforma,Limitador de subcomando (o que governa TODA escrita),bluetooth,sim,medido,"isso MUDA a leitura do E-1: as 348 recusas de 06-07/08 foram pedidos NOSSOS barrados antes de ir ao ar — o storm era de CPU e de log, não de rádio",não,assets/dkms/hid-nintendo/hid-nintendo.c:1021-1035; assets/modprobe.d/hefesto-hid-nintendo.conf:11-16,hidraw,"as mesmas três condições, mas com 60 ms em vez de 20 ms desde o último envio",,JC_SUBCMD_RATE_LIMITER_BT_MS = 60,"Ao estourar as 25 tentativas o comportamento DEPENDE do módulo: no vanilla o driver loga `exceeded max attempts` e TRANSMITE ASSIM MESMO, sem ritmo (é o que derruba o link); com `skip_tx_on_rate_exceeded=1` (ligado aqui) devolve -EAGAIN e nenhum byte vai ao rádio.",,,,,,,,,,
pro.sniff_link_policy_do_r_dio.bluetooth,pro,plataforma,Sniff / link policy do rádio,bluetooth,sim,medido,"com o SNIFF devolvido, o clone probou em 54 s na 1ª tentativa; ""só o nome"" (alias Nintendo) NÃO é alternativa — medido em 22/07, o Pro durou mais mas ainda caiu sob carga pesada",sim,assets/82-nintendo-pro-nosniff.rules:1-25; scripts/bt_active_mode.sh:70-130,outro,"o Pro genuíno é tirado do SNIFF POR-LINK: `hcitool lp <MAC> RSWITCH`, escopado à OUI e0:f6:b5, na borda do connect (regra udev 82) e reaplicado a cada 2 min pelo `bt_active_mode.sh`",,"ENV{HID_UNIQ}==""e0:f6:b5:*"" → bt_nosniff_now.sh","REQUISITOS OPOSTOS, medidos no A/B de 23/07: o Pro genuíno CAI SOB CARGA com sniff e fica ESTÁVEL sem; o 8BitDo clone em modo Switch PRECISA do sniff (sem ele a probe morre em `Failed to get joycon info; ret=-110`, 4 probes falhadas / 0 sucessos). Por isso o default do adaptador continua COM sniff e a recusa é por-link.",,,,MONTOU,,,,,,"A regra 82 casa por HID_UNIQ, isto é, POR ENDEREÇO. Se algum dia o endereço mudar, ela muda de alvo sem avisar."
pro.sniff_link_policy_do_r_dio.usb,pro,plataforma,Sniff / link policy do rádio,usb,não,inferido-do-codigo,,não,,outro,não se aplica — não há link Bluetooth,,,,,,,,,,,,,
pro.distinguir_o_pro_genu_no_do_clone_8bitdo.usb,pro,plataforma,Distinguir o Pro GENUÍNO do clone 8BitDo,usb,sim,medido,`grep -rn HEFESTO_CONTROLLER_VARIANT src/` devolve ZERO,parcial,assets/84-nintendo-pro-variant.rules:1-70,sysfs,"`bcdDevice` no descritor USB: 0210 = genuíno, 0200 = clone. Regra udev 84 casa idVendor+idProduct+bcdDevice no MESMO `usb_device` pai e entrega `HEFESTO_CONTROLLER_VARIANT` em quatro camadas (usb, hid, hidraw, input) mais os symlinks /dev/hefesto/nintendo-pro e /dev/hefesto/8bitdo-pro-clone.",,"ATTRS{bcdDevice}==""0210"" (genuíno) / ""0200"" (clone)","COLIDEM em VID, PID, serial (000000000001), HID_NAME (""Nintendo Co., Ltd. Pro Controller"") e MODALIAS. O bcdDevice é legível ANTES da probe do driver — dá para diagnosticar o estado QUEBRADO, não só o curado.",,,,,,,,,,"DIVERGÊNCIA (b) código: a marca é escrita, instalada e conferida pelo doctor, e NÃO TEM LEITOR NO PRODUTO. É cura escrita e nunca ligada — a classe de defeito mais cara desta casa. Limite honesto declarado na própria regra: dois clones idênticos juntos colidem no symlink."
pro.distinguir_o_pro_genu_no_do_clone_8bitdo.bluetooth,pro,plataforma,Distinguir o Pro GENUÍNO do clone 8BitDo,bluetooth,parcial,medido,"external_identity.py:200, bt_active_mode.sh:104-108, 82-nintendo-pro-nosniff.rules:23-24",sim,src/hefesto_dualsense4unix/daemon/subsystems/external_identity.py:200; scripts/bt_active_mode.sh:104-108,outro,"o ÚNICO discriminador por rádio é a OUI do endereço: e0:f6:b5 genuíno, e4:17:d8 clone",,"key[:6] == ""e0f6b5"" (NINTENDO_REAL_OUI)","O `bcdDevice` NÃO atravessa: o Modalias publicado por rádio é `usb:v057Ep2009d0001` nos dois, e o campo `d` é 0001 fixo, não o bcdDevice. Três lugares independentes da árvore concordam com a doutrina da OUI.",,,,MONTOU,,,,,,
pro.touchpad.nenhum,pro,toque,Touchpad,nenhum,não,inferido-do-codigo,"`joycon_input_create` do procon cria só sticks, dpad e botões; nenhum `input_mt_*` no módulo",não,assets/dkms/hid-nintendo/hid-nintendo.c:2440-2455,outro,nao-localizado — o aparelho NÃO TEM,,,"Não há geometria, pontos de toque nem bit de clique de touchpad em report nenhum do protocolo Switch, e o driver não cria nó de touchpad para o Pro.",,,,,,,,,,
pro.microfone.nenhum,pro,audio,Microfone,nenhum,não,inferido-do-codigo,grep por audio/snd/Audio no módulo devolve VAZIO,não,assets/dkms/hid-nintendo/hid-nintendo.c (nenhuma ocorrência),outro,nao-localizado — o aparelho NÃO TEM,,,"Zero ocorrências de `audio`, `snd` ou `mic` em todo o hid-nintendo.c. O Pro não tem microfone, não tem entrada de fone e não expõe nenhum campo de áudio.",,,,,,,,,,
pro.alto_falante_do_controle.nenhum,pro,audio,Alto-falante do controle,nenhum,não,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c (nenhuma ocorrência de audio),outro,nao-localizado — o aparelho NÃO TEM,,,"Não há campo de volume, rota nem pré-amplificador em report de saída nenhum. Todo o vocabulário de áudio do DualSense (common[4..7], common[37], OUTPUT_PATH_SEL) simplesmente não existe aqui.",,,,,,,,,,
pro.sa_da_de_udio_dedicada_placa_usb_audio_no_co.usb,pro,audio,Saída de áudio dedicada (placa USB Audio no controle),usb,não,inferido-do-codigo,a regra 81-hefesto-usb-power trata 057e só quanto a autosuspend; não há nenhuma regra de áudio para Nintendo,não,assets/75-ps5-controller-disable-usb-audio.rules (só 054c); assets/81-hefesto-usb-power.rules,outro,nao-localizado — o Pro NÃO ENUMERA interface de áudio USB,,,"CONTRASTE: o DualSense por USB é uma placa USB Audio de QUATRO canais (1-2 fone/alto-falante, 3-4 os motores voice-coil), e por isso existe a regra 75-ps5-controller-disable-usb-audio. Não há regra equivalente para 057e porque não há o que desligar.",,,,,,,,,,
pro.sa_da_de_udio_dedicada.bluetooth,pro,audio,Saída de áudio dedicada,bluetooth,não,inferido-do-codigo,nao-localizado — não há sprint com a leitura do registro BlueZ do Pro,não,,outro,nao-localizado — o Pro não anuncia perfil de áudio Bluetooth (é HID puro),,,"Mesmo caso já MEDIDO no DualSense (07/08): UUIDs = HID 0x1124 + PnP 0x1200, Class of Device sem o bit de áudio. Para o Pro isso nunca foi medido nesta casa, mas o driver e o descritor não têm nada de áudio.",,,,,,,,,,"GRAU HONESTO: a ausência está firme pelo lado do descritor/driver; a leitura do BlueZ do Pro (UUIDs e Class of Device) NÃO foi feita, ao contrário da do DualSense e da do DualShock 4."
pro.haptics_vcm_pcm_motores_voice_coil_com_forma.nenhum,pro,vibracao,Haptics VCM / PCM (motores voice-coil com forma de onda),nenhum,não,inferido-do-codigo,GRAU MÉDIA para a estrutura do 0x10 (fonte de comunidade; o kernel confirma apenas o ID do report),não,assets/dkms/hid-nintendo/hid-nintendo.c:277-337,outro,"nao-localizado — o Pro tem HD rumble por TABELA de frequência/amplitude, não PCM. Não há canal de áudio nem report de forma de onda.",,,"O HD rumble do Pro é um report 0x10 com um byte de tempo e 4+4 bytes (banda alta e banda baixa) por lado, com tabelas EXPONENCIAIS — é outra coisa que o PCM de 3000 Hz do DualSense.",,,,,,,,,,
pro.led_do_microfone_o_bot_o_de_mudo_iluminado.nenhum,pro,luz,LED do microfone (o botão de mudo iluminado),nenhum,não,inferido-do-codigo,,não,assets/dkms/hid-nintendo/hid-nintendo.c:2513-2600,outro,nao-localizado — não há botão de mudo nem LED de microfone no Pro,,,Os cinco nós de LED do Pro são os quatro verdes de jogador mais o azul do HOME. Não há um sexto.,,,,,,,,,,
pro.quinto_led_de_jogador.nenhum,pro,luz,Quinto LED de jogador,nenhum,não,medido,"o nome do nó vem de LED_FUNCTION_PLAYER5 no kernel, mas o `brightness_set_blocking` dele é `joycon_home_led_brightness_set`",não,assets/dkms/hid-nintendo/hid-nintendo.c:2573-2588,sysfs,"nao-localizado — só existem QUATRO lâmpadas de jogador. O nó `:blue:player-5` é o LED HOME (escala 0-15, subcomando 0x38), não um quinto jogador.",,JC_NUM_LEDS = 4,"CONTRASTE com o DualSense, que tem CINCO lâmpadas brancas.",,,,,,,,,,"É exatamente onde o nosso `write_player_number` erra: usa o HOME como bit ""+5"" da numeração. A numeração de 5 a 9 precisa de OUTRO desenho, porque só existem 4 lâmpadas."
pro.gamepad_virtual_vpad_que_o_hefesto_cria_para.usb,pro,plataforma,Gamepad virtual (vpad) que o Hefesto cria para o Pro,usb,sim,inferido-do-codigo,"`calibration_0x05=calib` é None para externos, fail-safe",sim,src/hefesto_dualsense4unix/daemon/subsystems/coop.py:655-690,uhid,"o co-op cria um vpad uhid DualSense Edge (PID 0x0DF2) para o jogador do Pro, com o 0x05 canônico embutido (nunca a calibração dele)",,,"Decisão de produto do VPAD-09: uniformidade, dedup segura e rumble por hidraw para todos. O Hefesto lê os botões do Pro por evdev (com EVIOCGRAB) e os republica no vpad.",,,,MONTOU,,,,,,O jogo vê um DualSense Edge onde há um Pro Controller — com giroscópio NEUTRO (não há espelho de motion para externo) e sem gatilho analógico real (0 ou 255 sintetizados).
pro.gamepad_virtual_vpad_que_o_hefesto_cria_para.bluetooth,pro,plataforma,Gamepad virtual (vpad) que o Hefesto cria para o Pro,bluetooth,sim,inferido-do-codigo,,sim,"src/hefesto_dualsense4unix/integrations/uhid_gamepad.py:94, :123",uhid,"idêntico ao cabo — o vpad NASCE sempre com BUS_USB, o jogo nunca vê Bluetooth",,,"Consequência: o jogo sempre escreve o report de output 0x02 (USB) no vpad, mesmo com o Pro no rádio.",,,,MONTOU,,,,,,
pro.espelho_de_motion_girosc_pio_cru_do_f_sico_v.ambos,pro,movimento,Espelho de motion (giroscópio cru do físico → vpad),ambos,não,inferido-do-codigo,,não,src/hefesto_dualsense4unix/daemon/subsystems/coop.py:857-885,uhid,"NÃO EXISTE para externo, por DESIGN: `_start_player_motion_reader` desiste quando `hidraw_path(identity)` devolve None, que é sempre o caso de um controle sem handle no backend",,,"Comentário no próprio código: ""externo/sem handle: gyro nativo, sem espelho"" — decisão da mantenedora no estudo de 19/07: dar-lhe vpad com espelho reverteria o 8BIT-02.",,,,,,,,,,"O Pro passa direto ao jogo com o gyro NATIVO dele (nó `Pro Controller (IMU)`), pelo kernel — o que só funciona se o jogo enxergar o físico, e o co-op faz EVIOCGRAB no nó de gamepad."
pro.r_plica_do_output_do_jogo_gatilho_adaptativo.ambos,pro,luz,"Réplica do output do JOGO (gatilho adaptativo, lightbar, LED de jogador) no Pro",ambos,não,inferido-do-codigo,,não,src/hefesto_dualsense4unix/daemon/subsystems/coop.py:590-636; src/hefesto_dualsense4unix/daemon/subsystems/gamepad.py:998-1036,uhid,o jogo escreve no vpad do Pro → `apply_game_trigger/lightbar/player_leds(target_uniq=MAC do Pro)` → `set_game_trigger_for`/`set_game_output_for` no backend NÃO acham handle → descartado em silêncio,,,"Sem broadcast, de propósito: replicar efeito de gatilho em TODOS os controles pintaria o jogador errado (é o bug P1-lightbar). Aqui o descarte é a resposta certa — o Pro não tem lightbar nem gatilho adaptativo para onde replicar.",,,,,,,,,,"O LED de jogador é o único que o Pro TEM e que a réplica poderia acender — e não acende, porque o caminho passa pelo backend de DualSense e não pelo sysfs de externo."
pro.regra_udev_79_tornar_o_led_do_pro_grav_vel_s.ambos,pro,luz,Regra udev 79 — tornar o LED do Pro gravável sem sudo,ambos,sim,medido,,sim,assets/79-external-controller-leds.rules:1-6,sysfs,`chmod 0666` no `brightness` de `*057E:*:green:player-*` e `*057E:*:blue:player-*`,,,"A TAG uaccess foi REMOVIDA de propósito: numa regra ≥73 o logind nunca a converte em ACL. Sem a regra, a escrita falha em SILÊNCIO e o LED fica no default do kernel.",,,,MONTOU,,,,,,"A regra está instalada e viva; quem não escreve é o produto, pelo portão `EXTERNAL_PLAYER_LED_ENABLED = False`."
pro.regra_udev_81_o_pro_nunca_dorme_no_barrament.usb,pro,plataforma,Regra udev 81 — o Pro nunca dorme no barramento USB,usb,sim,medido,,sim,assets/81-hefesto-usb-power.rules,sysfs,"`power/control=on` e `power/autosuspend_delay_ms=-1` para todo `ATTR{idVendor}==""057e""`",,,,,,,MONTOU,,,,,,"Trata genuíno e clone igual, de propósito — o tratamento de energia é idêntico para os dois."
pro.leitura_do_led_de_jogador_saber_o_que_est_ac.ambos,pro,luz,Leitura do LED de jogador (saber o que está aceso),ambos,não,medido,83 falhas no kernel contra ZERO avisos do daemon na mesma janela,parcial,src/hefesto_dualsense4unix/core/external_leds.py:198-260,sysfs,"`read_player_pattern` lê o `brightness` da classe LED — que guarda o valor PEDIDO, não o aceso",,,"MEDIDO em 07/08 15h24: os cinco nós do Pro liam 1,1,0,0,0 (exatamente o slot 2 pedido) e TRÊS daquelas cinco escritas tinham falhado com -110 (ETIMEDOUT). No hid-nintendo a escrita é assíncrona: o `write(2)` volta com sucesso 1,18 s a 3,45 s ANTES de o erro existir.",,,,,,,,,,"NÃO EXISTE, em ponto nenhum da árvore, um caminho que saiba que uma escrita de player-LED FALHOU. E o ""intruso"" que o log acusa foi, em 11 de 11 repinturas de 07/08, a nossa própria escrita anterior — o daemon perseguindo o próprio eco."
pro.ado_o_do_pro_pelo_backend_input_output_desej.ambos,pro,plataforma,"Adoção do Pro pelo backend (input, output desejado, perfil)",ambos,não,inferido-do-codigo,,não,src/hefesto_dualsense4unix/core/backend_pydualsense.py:1416-1492; src/hefesto_dualsense4unix/broker/hidraw_broker.py:80-86,hidraw,o `PyDualSenseController` só abre handles cujo VID/PID casa `DUALSENSE_PIDS`; o broker valida o hidraw como 054c:0ce6,,,"O Pro NÃO É ADOTADO: o input dele segue pelo kernel/Steam. Ele entra na interface como EXTERNO, com ficha read-only, sem card de glifos e sem visualização por botão.",,,,,,,,,,"DIVERGÊNCIA (c) doc: `scripts/doctor.sh:3849` imprime ""o daemon só abre DualSense (filtro Sony 054c) e é incapaz de tocar um device Nintendo (057e)"". A frase é FORTE DEMAIS: `enable_imu` abre o hidraw de um 057e com O_WRONLY e escreve. A ressalva que salva o doctor é que a escrita é travada em bus==usb e OUI e0f6b5, então nunca alcança o cenário que ele diagnostica (8BitDo por rádio)."
pro.refer_ncias_a_nintendo_em_src_a_prova_que_a_.ambos,pro,plataforma,Referências a Nintendo em src/ (a prova que a página de uso cita),ambos,não,medido,"grep confirmado nesta sessão: broker/hidraw_broker.py, core/external_leds.py, core/evdev_reader.py, daemon/subsystems/external_identity.py, daemon/subsystems/coop.py e mais 11",não,docs/usage/troubleshooting-8bitdo.md versus src/hefesto_dualsense4unix/core/external_leds.py,outro,não é feature do aparelho — é uma DIVERGÊNCIA doc×código que muda como se lê tudo acima,,,"`docs/usage/troubleshooting-8bitdo.md` afirma, como PROVADO NO CÓDIGO, que há ""zero referências a Nintendo/8BitDo em src/"". Hoje é FALSO: 16 arquivos de src/ citam Nintendo ou 8BitDo, e `core/external_leds.py` existe justamente para escrever nesses controles.",,,,,,,,,,A conclusão de fundo (o Hefesto não causou as mortes por BT do 8BitDo) pode continuar certa; a PROVA citada caducou e precisa de nota datada.
sn30.bot_es_digitais_a_b_x_y_l_r_zl_zr_home_captu.usb,sn30,entrada,"Botões digitais (A/B/X/Y, L/R, ZL/ZR, −, +, Home, Captura, L3/R3) + D-pad",usb,sim,inferido-do-codigo,docs/usage/troubleshooting-8bitdo.md:30 marca 'Switch por cabo — PROVADO estável (instância USB sem um único timeout)',não,assets/dkms/hid-nintendo/hid-nintendo.c:495-511,evdev,"nó evdev do gamepad: BTN_EAST/SOUTH/NORTH/WEST, BTN_TL/TR, BTN_TL2/TR2, BTN_SELECT/START, BTN_MODE, BTN_Z, BTN_THUMBL/R, ABS_HAT0X/Y. Depende do subcomando 0x03 (SET_REPORT_MODE→0x30) ter sido aceito na probe",entrada 0x30; saída 0x01 (subcmd 0x03),,O mapeamento é o `procon_button_mappings` genérico — o driver não tem tabela específica de SN30 Pro. Rótulos Nintendo: sem `SDL_GAMECONTROLLER_USE_BUTTON_LABELS=0` o A/B e X/Y chegam trocados ao jogo.,,,,,,,,,,"O Hefesto NÃO adota este controle: o input vai direto pelo kernel/Steam (filtro `DUALSENSE_VENDOR=0x054C` + `DUALSENSE_PIDS={0x0CE6,0x0DF2}` em core/evdev_reader.py:28-29)."
sn30.bot_es_digitais_d_pad.bluetooth,sn30,entrada,Botões digitais + D-pad,bluetooth,parcial,medido,"docs/usage/troubleshooting-8bitdo.md:31,204-222 — PROVADO instável, medido em 16/07/2026, com e sem Steam",não,scripts/doctor.sh:3801-3850,evdev,mesmo nó evdev e mesmo report 0x30 — mas o firmware clone engasga com o protocolo de subcomando do hid-nintendo e o input morre com o link BT de pé,entrada 0x30,,"Assinatura da morte, na MESMA instância hid: dezenas de `timeout waiting for input report` culminando em `joycon_enforce_subcmd_rate: exceeded max attempts`. O `bluetoothctl` segue dizendo Connected: yes.",,,,,,,,,,"A recomendação da casa por rádio é trocar para o modo DirectInput/PS4 (`Start + A`), onde ele nem chega perto do hid-nintendo."
sn30.sticks_anal_gicos_dois_eixos_por_stick.usb,sn30,entrada,Sticks analógicos (dois eixos por stick),usb,sim,inferido-do-codigo,,não,"assets/dkms/hid-nintendo/hid-nintendo.c:213-217, :2261-2290",evdev,"evdev ABS_X/ABS_Y (esquerdo) e ABS_RX/ABS_RY (direito), faixa ±32767 (`JC_MAX_STICK_MAG`), fuzz 250, flat 500",,,Calibração aplicada pelo driver a partir da flash SPI (ver linha de calibração).,,,,,,,,,,
